SKU;EAN;Nazwa produktu (BL);Kategoria BTP (główna);Kategoria BTP (podkategoria);Proponowana kategoria sklepu;Slug kategorii;BL Category ID;Status
ZBM.3G;;"Moduł do rozbudowy zipabox z wave 3G";;;;;;BRAK W CSV
99MO065031;4712052314504;"Rękawiczki dotykowe rozmiar l Szary";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
NEB-IPH8-LBBR;888488290775;"Etui iPhone X skórzane  z klapką";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
5159052;844983039868;"Otwieracz do butelek z korkociągiem czarny";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
PUSHBOOM;;"Boombox Diy Pusheen";;;;;;BRAK W CSV
GC30004;685387329793;"Przekaźnik audio wideo Android beacon";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
BAT-R14/G-B2;4891199000102;"Bateria C R14 2 szt. 1.5 Green Cell";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
93613;;"Uchwyty meblowe 2 SZT Cars";;;;;;BRAK W CSV
93616;8412497936168;"Uchwyty meblowe 2 SZT Kaczor Donald";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
MARE0046;8435497222956;"Piórnik Pusheen kolekcja Rose";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0048;8435497222970;"Kosmetyczka Pusheen kolekcja Rose";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MGGE002;8435497228804;"Mata gamingowa Pusheen";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
5902385105385;5902385105385;"Bounty train gra komputerowa";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
PCG-PRE-STYX-SHARDS-OD;3512899116320;"Gra Styx Shards of Darkness PL poliwęglanowe";Dziecko;Gry puzzle;Dla dziecka > Gry edukacyjne i planszowe;gry-edukacyjne-i-planszowe;2804306;OK
GURSEQGWH;3700740443590;"Magnetyczny uchwyt do telefonu Guess";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
BFO-BQ5-W;6931474716965;"Uchwyt samochodowy z ładowarką bezprzewodową";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
70062;4012854700629;"Łódka Anabac toys";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
70063;4012854700636;"Łódź rybacka Anabac toys";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
620-0393;;"Worek na buty, gimnastykę różowe";;;;;;BRAK W CSV
