count;name;id
4528;(brak producenta);0
658;HAMELIN POLSKA SP. Z O.O.;1698358
577;ASTRA SPÓŁKA AKCYJNA;1698327
514;GDD;1335656
496;ARGO;1698355
479;TREFL SPÓŁKA AKCYJNA;1698318
381;KOH-I-NOOR HARDTMUTH POLSKA SP.ZO.O.;1698325
331;MICHALCZYK I PROKOP SPÓŁKA Z O.O.;1698321
326;Interdruk;1335737
269;CZAPSKA SPÓŁKA KOMANDYTOWA;1698326
267;Dante;1335685
245;KW TRADE SP Z O.O.;1698323
234;VAUPE SP. Z O.O.;1698330
232;NEWELL POLAND SERVICES SP. Z O.O.;1698320
191;POL-MAK SP. Z O.O.;1698359
186;Simba;746448
177;DERFORM SP. Z O.O.;1698337
168;Euro-Trade;1335744
163;Dalprint;1336425
160;STABILO POLSKA;1698349
157;PBS CONNECT POLSKA SP. Z O.O.;1698342
136;BIC POLSKA SP. Z O.O;1698344
132;Titanum Zenon Waniak Spółka Komandytowa;1698433
112;WPC;1698332
109;Midex;1337703
107;ALIGA;1340083
106;ASKATO SPÓŁKA Z O.O. SP. K.;1698324
97;ST. MAJEWSKI SP. Z O. O.;1698331
92;Dromader;1336090
92;ALIGA - KATARZYNA I PAWEŁ GAŁĄZKA SPÓŁKA JAWNA;1698350
90;TADEO TRADING SP. Z O.O.;1698352
87;KOSTAS GROUP SP.Z O.O.;1698412
84;St. Majewski Spółka z.o.o;1698333
80;BIURFOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698369
76;MILAN POLSKA SP.Z.O.O.;1698351
76;STNUX CHILIŃSKI I WSPÓLNICY SPÓŁKA JAWNA;1698404
68;EUROPAPIER POLSKA SP.Z O.O.;1698341
66;CARTAMUNDI CARDS POLAND SP. z O.O.;1698420
65;Beniamin;1336128
60;Zielona Sowa;1335704
59;AMEX STATIONERY SP. Z O.O.;1698343
57;Rystor;1339984
56;TIERRA GROUP Sp. z o.o. Sp. K;1698372
55;Pentel;1336508
52;MP POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698441
50;Adamigo;1336047
49;Hipo;1336088
48;Lego;866786
48;Starpak;1284278
48;ALFA spółka cywilna Bogusław Pilawa, Robert Szydło;1698356
47;Mega Creative;1335756
47;HERLITZ PRZEŹMIEROWO;1698365
43;ROZETTE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698373
43;WYDAWNICTWO NIKO SP. Z O.O.;1698377
39;Bburago;1335921
39;AVERY ZWECKFORM GMBH;1698380
36;GRUPA WYDAWNICZA MEDIA RODZINA SPÓŁKA Z O.O;1698562
35;Mattel;1284287
34;CX DYSTRYBUCJA SP. Z O.O.;1698360
31;ABINO NT;1698421
28;Bam Bam;1335948
28;DIPLO;1698329
27;TRODAT SP.Z O.O.;1698353
27;WYDAWNICTWO "NIKO" S.C.KRZEMIONKA,SOBIERALSKI;1698379
27;DARIUSZ ADAMIEC "ADAR" AGENCJA HANDLOWO-USŁUGOWA;1698521
25;TOMA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698370
24;Askato;1335891
23;(unknown:560435);560435
22;Koh-I-Noor;1335889
22;DERFORM SP. J.       NIE PISAĆ;1698354
22;ANTELLA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698517
20;TM-TOYS SP. ZO.O.;1698346
19;FILA POLSKA SPÓŁKA;1698374
19;CDC PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698402
19;"GRANNA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698414
18;Canson;1339088
18;CDNORD;1698340
18;BIGO;1698363
18;TULLO KATARZYNA ABRAMCZUK;1698425
17;Milan;1335755
17;MALIMAS;1337811
17;KUKURYKU Julia Pogorzelska;1698319
15;DERFORM SP. J.;1698336
15;ARTYK SP. Z O.O.;1698338
15;RYSTOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698423
15;TRENDHAUS HANDELSGESELLSCHAFT MBH;1698424
14;Kamet;1337829
14;F.H.U. JU-PITER JACEK ŁUKASIAK;1698378
14;Eugeniusz Kamiński "KAMET";1698384
13;Astra;1335747
13;Madej;1336871
13;GODAN S.A.;1698387
12;bez marki;1284284
12;Trefl;1284326
12;Oxford;1336295
12;EURO-TRADE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698322
12;POLIGRAF is;1698364
11;Bestway;560849
11;Deef;1337761
11;PANTA-PLAST SP. Z O.O.;1698366
11;DELTA-GRAPHIX;1698386
10;TM Toys;1336367
10;BIC;1336392
10;HASBRO POLAND SP. Z O.O.;1698334
10;F.H.U.  JU-PITER ALICJA ŁUKASIAK;1698381
9;Stabilo;1335871
9;Donau;1336549
9;LESZKO;1339426
9;MAREK SP. Z O.O.;1698428
8;Tetis;1335757
8;Keyroad;1336338
8;Office Products;1337112
8;ARTYK ŁÓDŹ;1698339
8;KWADRATURA KOŁA EWA FRĄCKIEWICZ;1698434
8;SUN - DAY SP. Z O.O. SK;1698439
8;TRIFOX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698486
8;ABSZTYFIKANT SPÓŁKA Z O.O.;1698580
7;Top-2000;1339515
7;CzuCzu;1643000
7;A&G KOPERTY;1698371
6;Happy Color;1335718
6;Godan;1335888
6;Inny producent;1337675
6;PASO SP. ZO.O.;1698335
6;SARANTIS POLSKA SPÓŁKA AKCYJNA;1698561
5;Kamaben;1336551
5;Parker;1336611
5;Vau-Pe;1342125
5;FIRMA PRODUKCYJNO HANDLOWA ZACHEM Tadeusz GŁOWALA;1698328
5;Stella Pack SA;1698357
5;SPINMASTER;1698382
5;MGA ENTERTAINMENT POLAND SPÓŁKA ZO.O.;1698406
5;Tuban Trade sp. z o.o.;1698427
5;DAFFI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698491
5;ANDRZEJ LEŚNIEWSKI Firma Handlowa LEAN;1698512
5;ART AND PLAY;1698558
5;NEWELL;1698584
5;Party Deco;1698665
4;Herlitz;1335720
4;Lisciani;1335849
4;Grand;1335854
4;Bantex;1336721
4;Tymos;1337133
4;Hero;1338013
4;MAR-BOR;1698362
4;ŚWIAT SPINEK;1698383
4;CLEMENTONI POLSKA SP. Z O.O.;1698495
4;KRIS-TEAM;1698500
3;Kanex;560776
3;Asus;1303001
3;Alleblox;1335749
3;Adar;1335933
3;Titanum;1335951
3;DpCraft;1336107
3;Spin Master;1336126
3;AXEL;1336574
3;Michalczyk i Prokop;1336594
3;GIMBOO;1336722
3;Monami;1337486
3;Berlingo;1337732
3;Galeria Papieru;1339506
3;Kidea;1340253
3;DISTRI SP.Z O.O.;1698347
3;PIONIER;1698361
3;BRANDED. ŚLIWIŃSKI SPÓŁKA KOMANDYTOWA;1698403
3;3Z ZIELIŃSKI ŻELEWSKI SPÓŁKA KOMANDYTOWA;1698413
3;V TRADE SP. Z O.O.;1698415
3;KIEL-TECH  SP.Z.O.O;1698499
3;POSCA;1698523
3;PILOT;1698526
3;inna (Inny);1698527
2;Clementoni;560847
2;Maped;1335708
2;St. Majewski;1335726
2;Cartamundi;1336027
2;Cresco;1336068
2;Paper Mate;1336143
2;Staedtler;1336723
2;M&G;1336785
2;IKS;1336968
2;Q-CONNECT;1337115
2;Rotring;1337872
2;Ge.Ma.R.;1337996
2;Otocki;1338130
2;Trodat;1338146
2;INTERPEN SP. Z O.O.;1698368
2;ODDK.  VISUAL SYSTEM. JERZY MARCINEK;1698385
2;PASSION CARDS;1698393
2;KRZYSZTOF DRÓŻDŻ ''DIK'';1698419
2;Sadpex  Daniel, Przemysław Ślipko Spółka Jawna;1698426
2;METEOR CEE POLAND S.A;1698435
2;NET S.C.;1698436
2;Evos;1698437
2;WADER TRAFF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚ;1698443
2;P.P.H Koma-Plast s c;1698446
2;Cubic Fun;1698489
2;Faber-castell;1698509
2;ALBA MOLI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;1698522
2;GDD Grupa Dystrybucyjna Daccar;1698524
2;ASTRA Jacek T. Pazik;1698537
2;MAT GROUP SPÓŁKA CYWILNA JACEK POŻARLIK I DOMINI;1698579
1;Smoby;746443
1;Fisher-Price;1284277
1;Aurora;1335640
1;PUKKA;1335809
1;Trifox;1335920
1;Biurfol;1335966
1;KW Trade;1335973
1;Polesie;1336043
1;Brewis;1336354
1;Granna;1336375
1;Sun-day;1336438
1;Paper-mate;1336556
1;Y-Plus;1336967
1;Top 2000;1337037
1;Waterman;1337149
1;Schneider;1337334
1;Verte;1337348
1;TOOR;1337350
