Marka;Nazwa GPSR;Adres;Email;Telefon;Produkty
"Trefl";"Trefl S.A.";"ul. Ks. Jerzego Popiełuszki 17, 83-200 Starogard Gdański, Polska";"trefl@trefl.com";"+48 58 560 15 00";559
"Astra";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";529
"Interdruk";"Inter Druk Spółka Jawna";"ul. Gen. Wł. Andersa 17C, 15-113 Białystok, Polska";"biuro@interdruk.com.pl";"+48 85 676 99 40";368
"bez marki";"bez marki";"";"";"";325
"Madej";"Przedsiębiorstwo Produkcyjno-Handlowe Madej Sp. j.";"ul. Urzędnicza 37, 93-023 Łódź, Polska";"biuro@madej.pl";"+48 42 681 42 64";299
"Koh-I-Noor";"KOH-I-NOOR HARDTMUTH a.s.";"F. A. Gerstnera 21/3, 370 01 České Budějovice, Česká republika";"info@koh-i-noor.cz";"+420 389 000 111";281
"Galeria Papieru";"ARGO Spółka Akcyjna";"ul. Krynicka 1, 80-393 Gdańsk, Polska";"info@galeriapapieru.pl";"+48 58 554 35 16";267
"GDD";"Grupa Dystrybucyjna Daccar Sp. z o.o.";"ul. Hetmańska 38, 85-039 Bydgoszcz, Polska";"biuro@gfrupa-daccar.pl";"+48 52 346 32 00";246
"HAMELIN POLSKA SP. Z O.O.";"Hamelin Polska Sp. z o.o.";"ul. Szarych Szeregów 13, 60-462 Poznań, Polska";"biuro@hamelin.pl";"+48 61 867 34 95";237
"Vau-Pe";"VAUPE Sp. z o.o.";"ul. Marszałkowska 3/5, 00-624 Warszawa, Polska";"vaupe@vaupe.pl";"+48 22 628 47 94";231
"Kidea";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";223
"Oxford";"Hamelin S.A.S.";"";"contact@hamelin.com";"+33 2 31 66 30 00";222
"Happy Color";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";207
"ARGO";"ARGO Spółka Akcyjna";"ul. Krynicka 1, 80-393 Gdańsk, Polska";"argo@argo.pl";"+48 58 554 36 00";205
"POL-MAK SP. Z O.O.";"Pol-Mak Sp. z o.o.";"Ludwin Kolonia 58, 21-075 Ludwin, Polska";"pol-mak@pol-mak.pl";"+48 81 757 00 90";191
"Lisciani";"Lisciani Giochi S.r.l.";"Via Ramo d'Oro, snc - Zona Ind.le, 64014 Martinsicuro (TE), Italia";"info@liscianigiochi.it";"+39 0861 799 711";161
"Askato";"Askato Sp. z o.o. Sp. k.";"ul. Obornicka 2A, 62-002 Złotniki, Polska";"biuro@askato.pl";"+48 61 666 15 56";161
"Simba";"Simba Toys GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";160
"Stabilo";"STABILO International GmbH";"Schwanweg 1, 90562 Heroldsberg, Deutschland";"info@stabilo.com";"+49 911 9365 0";160
"Tetis";"Czapska Sp. k.";"ul. Sokołowska 38, 05-806 Sokołów, Polska";"biuro@tetis.pl";"+48 22 729 77 77";145
"Dalprint";"Dalprint Sp. z o.o.";"ul. Dworkowa 5, 05-082 Blizne Łaszczyńskiego, Polska";"biuro@dalprint.pl";"+48 22 762 48 00";137
"Parker";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";134
"Starpak";"Starpak Sp. z o.o.";"ul. Łucka 20, 00-845 Warszawa, Polska";"biuro@starpak.com.pl";"+48 22 652 66 33";134
"TOP-2000";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";132
"KOH-I-NOOR HARDTMUTH POLSKA SP.ZO.O.";"KOH-I-NOOR HARDTMUTH a.s.";"F. A. Gerstnera 21/3, 370 01 České Budějovice, Česká republika";"info@koh-i-noor.cz";"+420 389 000 111";124
"Midex";"Midex Sp. z o.o.";"ul. Armii Krajowej 35, 97-300 Piotrków Trybunalski, Polska";"biuro@midex.pl";"+48 44 730 60 00";116
"MICHALCZYK I PROKOP SPÓŁKA Z O.O.";"Michalczyk i Prokop Sp. z o.o.";"ul. Szkolna 5, 32-020 Wieliczka, Polska";"handlowy@mfrip.pl";"+48 12 278 19 00";116
"Titanum";"Titanum Sp. z o.o.";"ul. Garbarska 16, 20-340 Lublin, Polska";"biuro@titanum.pl";"+48 81 743 04 00";110
"Clementoni";"Clementoni S.p.A.";"Zona Ind.le Fontenoce, 62019 Recanati (MC), Italia";"info@clementoni.com";"+39 071 75 811";109
"Grand";"Grand Sp. j.";"ul. Elbląska 15/17, 01-747 Warszawa, Polska";"biuro@grand.com.pl";"+48 22 633 31 33";105
"ASTRA SPÓŁKA AKCYJNA";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";97
"TREFL SPÓŁKA AKCYJNA";"Trefl S.A.";"ul. Ks. Jerzego Popiełuszki 17, 83-200 Starogard Gdański, Polska";"trefl@trefl.com";"+48 58 560 15 00";92
"BIC";"BIC Polska Sp. z o.o.";"ul. Domaniewska 49, 02-672 Warszawa, Polska";"kontakt@bicworld.com";"+48 22 606 36 00";86
"Bambino";"St. Majewski Sp. z o.o. Sp. k.";"ul. Kredkowa 1, 05-800 Pruszków, Polska";"st-majewski@st-majewski.pl";"+48 22 758 70 41";85
"Dromader";"Dromader Sp. z o.o.";"ul. Targowa 72, 03-734 Warszawa, Polska";"biuro@dromader.pl";"+48 22 619 25 00";85
"Milan";"MILAN Polska Sp. z o.o.";"ul. Działkowa 26, 02-234 Warszawa, Polska";"info@milan.pl";"+48 22 868 34 00";84
"Cubic Fun";"CubicFun Toys Industrial Co., Ltd.";"No.1 Shaoshan Road, Longhu Zhujin Industrial District, Shantou, Guangdong, China";"3dpuzzle@cubicfun.com";"+86 754 88604627";80
