"Kategoria Mamezi";"Reguła mapowania";"Slug WBTrade";"Kategoria WBTrade (opis)";"Status"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla kotów/Karmy/Mokra karma";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla kotów/Karmy/Sucha karma";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla kotów/Szelki, smycze, obroże";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla psów/Karmy/Mokra karma";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla psów/Karmy/Sucha karma";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla psów/Obroże";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla psów/Preparaty";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla psów/Smakołyki";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Dla psów/Zabawki";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Higiena";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Klatki i kojce";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Artykuły dla zwierząt/Miski";"DOM I OGRÓD/Artykuły dla zwierząt";"artykuly-dla-zwierzat";"Zwierzęta (psy, koty, higiena, klatki, miski) → Ogród i Gospodarstwo > Artykuły dla zwierząt";"OK"
"DOM I OGRÓD/Budownictwo i Akcesoria/Taśmy montażowe";"DOM I OGRÓD/Budownictwo i Akcesoria";"akcesoria-1";"Taśmy montażowe → Narzędzia > Akcesoria";"OK"
"DOM I OGRÓD/Meble/Wieszaki";"DOM I OGRÓD/Meble/Wieszaki";"wyposazenie-i-akcesoria";"Wieszaki → Dom > Wyposażenie i akcesoria";"OK"
"DOM I OGRÓD/Narzędzia ogrodnicze/Nożyce i sekatory";"DOM I OGRÓD/Narzędzia ogrodnicze";"ogrod-i-narzedzia-ogrodowe";"Nożyce, sekatory → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Narzędzia/Palniki gazowe";"DOM I OGRÓD/Narzędzia/Palniki gazowe";"narzedzia-reczne";"Palniki gazowe → Narzędzia > Narzędzia ręczne";"OK"
"DOM I OGRÓD/Odzież/Body";"DOM I OGRÓD/Odzież/Body";"przybory-i-akcesoria";"Body dziecięce → Dla dziecka > Przybory i akcesoria";"OK"
"DOM I OGRÓD/Odzież/Czapki";"DOM I OGRÓD/Odzież/Czapki";"przybory-i-akcesoria";"Czapki dziecięce → Dla dziecka > Przybory i akcesoria";"OK"
"DOM I OGRÓD/Odzież/Legginsy";"DOM I OGRÓD/Odzież/Legginsy";"przybory-i-akcesoria";"Legginsy → Dla dziecka > Przybory i akcesoria";"OK"
"DOM I OGRÓD/Odzież/Przebrania, kostiumy, maski";"DOM I OGRÓD/Odzież/Przebrania, kostiumy, maski";"przebrania";"Przebrania, kostiumy → Dla dziecka > Przebrania";"OK"
"DOM I OGRÓD/Odzież/Sukienki";"DOM I OGRÓD/Odzież/Sukienki";"przybory-i-akcesoria";"Sukienki → Dla dziecka > Przybory i akcesoria";"OK"
"DOM I OGRÓD/Odzież/Swetry";"DOM I OGRÓD/Odzież/Swetry";"przybory-i-akcesoria";"Swetry → Dla dziecka > Przybory i akcesoria";"OK"
"DOM I OGRÓD/Odzież/T-shirty";"DOM I OGRÓD/Odzież/T-shirty";"przybory-i-akcesoria";"T-shirty → Dla dziecka > Przybory i akcesoria";"OK"
"DOM I OGRÓD/Ogród/Domki";"DOM I OGRÓD/Ogród/Domki";"ogrod-i-narzedzia-ogrodowe";"Domki ogrodowe → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Grillowanie/Dmuchawy do grilla";"DOM I OGRÓD/Ogród/Grillowanie";"ogrod-i-narzedzia-ogrodowe";"Grillowanie (grille, dmuchawy, pokrowce) → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Grillowanie/Grille węglowe";"DOM I OGRÓD/Ogród/Grillowanie";"ogrod-i-narzedzia-ogrodowe";"Grillowanie (grille, dmuchawy, pokrowce) → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Grillowanie/Pokrowce na grilla";"DOM I OGRÓD/Ogród/Grillowanie";"ogrod-i-narzedzia-ogrodowe";"Grillowanie (grille, dmuchawy, pokrowce) → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Nawozy i preparaty/Nawozy";"DOM I OGRÓD/Ogród/Nawozy i preparaty";"ogrod-i-narzedzia-ogrodowe";"Nawozy, środki ochrony roślin → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Nawozy i preparaty/Środki ochrony roślin";"DOM I OGRÓD/Ogród/Nawozy i preparaty";"ogrod-i-narzedzia-ogrodowe";"Nawozy, środki ochrony roślin → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Odstraszacze owadów";"DOM I OGRÓD/Ogród/Odstraszacze owadów";"ogrod-i-narzedzia-ogrodowe";"Odstraszacze owadów → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Odstraszacze zwierząt";"DOM I OGRÓD/Ogród/Odstraszacze zwierząt";"ogrod-i-narzedzia-ogrodowe";"Odstraszacze zwierząt → Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe";"OK"
"DOM I OGRÓD/Ogród/Szamba i oczyszczalnie/Preparaty do szamb";"DOM I OGRÓD/Ogród/Szamba i oczyszczalnie";"pojemniki-i-zbiorniki-gospodarcze-bl-2966384";"Preparaty do szamb → Ogród i Gospodarstwo > Pojemniki i zbiorniki gospodarcze";"OK"
"DOM I OGRÓD/Wyposażenie/Deski do prasowania";"DOM I OGRÓD/Wyposażenie/Deski do prasowania";"wyposazenie-i-akcesoria";"Deski do prasowania → Dom > Wyposażenie i akcesoria";"OK"
"DOM I OGRÓD/Wyposażenie/Ozdoby świąteczne i okolicznościowe/Boże Narodzenie/Choinki";"DOM I OGRÓD/Wyposażenie/Ozdoby świąteczne i okolicznościowe";"wyposazenie-i-akcesoria";"Ozdoby świąteczne (choinki, znicze) → Dom > Wyposażenie i akcesoria";"OK"
"DOM I OGRÓD/Wyposażenie/Ozdoby świąteczne i okolicznościowe/Wszystkich Świętych/Wkłady do zniczy";"DOM I OGRÓD/Wyposażenie/Ozdoby świąteczne i okolicznościowe";"wyposazenie-i-akcesoria";"Ozdoby świąteczne (choinki, znicze) → Dom > Wyposażenie i akcesoria";"OK"
"DOM I OGRÓD/Wyposażenie/Ozdoby świąteczne i okolicznościowe/Wszystkich Świętych/Znicze";"DOM I OGRÓD/Wyposażenie/Ozdoby świąteczne i okolicznościowe";"wyposazenie-i-akcesoria";"Ozdoby świąteczne (choinki, znicze) → Dom > Wyposażenie i akcesoria";"OK"
"DOM I OGRÓD/Wyposażenie/Przybory kuchenne/Spryskiwacze";"DOM I OGRÓD/Wyposażenie/Przybory kuchenne";"kuchnia";"Przybory kuchenne (spryskiwacze) → Dom > Kuchnia";"OK"
"DOM I OGRÓD/Wyposażenie/Suszarki na ubrania";"DOM I OGRÓD/Wyposażenie/Suszarki na ubrania";"wyposazenie-i-akcesoria";"Suszarki na ubrania → Dom > Wyposażenie i akcesoria";"OK"
"DOM I OGRÓD/Wyposażenie/Świece";"DOM I OGRÓD/Wyposażenie/Świece";"wyposazenie-i-akcesoria";"Świece → Dom > Wyposażenie i akcesoria";"OK"
"ELEKTRONIKA/Drony";"ELEKTRONIKA/Drony";"akcesoria-gsm";"Drony → Elektronika i GSM > Akcesoria GSM";"OK"
"ELEKTRONIKA/Komputery/Dyski i pamięci przenośne/Pamięci przenośne/Pendrive";"ELEKTRONIKA/Komputery/Dyski i pamięci przenośne";"komputery-i-akcesoria";"Pendrive'y, pamięci przenośne → Elektronika i GSM > Komputery i akcesoria";"OK"
"ELEKTRONIKA/Konsole i automaty";"ELEKTRONIKA/Konsole i automaty";"konsole-i-gry";"Konsole i automaty → Elektronika i GSM > Konsole i gry";"OK"
"ELEKTRONIKA/Ogrzewanie/Grzejniki elektryczne";"ELEKTRONIKA/Ogrzewanie/Grzejniki elektryczne";"energia-i-ogrzewanie";"Grzejniki elektryczne → Dom > Energia i ogrzewanie";"OK"
"ELEKTRONIKA/Ogrzewanie/Grzejniki olejowe";"ELEKTRONIKA/Ogrzewanie/Grzejniki olejowe";"energia-i-ogrzewanie";"Grzejniki olejowe → Dom > Energia i ogrzewanie";"OK"
"ELEKTRONIKA/Ogrzewanie/Nagrzewnice";"ELEKTRONIKA/Ogrzewanie/Nagrzewnice";"energia-i-ogrzewanie";"Nagrzewnice → Dom > Energia i ogrzewanie";"OK"
"ELEKTRONIKA/Ogrzewanie/Termowentylatory";"ELEKTRONIKA/Ogrzewanie/Termowentylatory";"energia-i-ogrzewanie";"Termowentylatory → Dom > Energia i ogrzewanie";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Czajniki elektryczne";"ELEKTRONIKA/RTV i AGD/AGD/Czajniki elektryczne";"sprzet-agd";"Czajniki elektryczne → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Gofrownice";"ELEKTRONIKA/RTV i AGD/AGD/Gofrownice";"sprzet-agd";"Gofrownice → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Golarki do ubrań";"ELEKTRONIKA/RTV i AGD/AGD/Golarki do ubrań";"sprzet-agd";"Golarki do ubrań → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Grille elektryczne";"ELEKTRONIKA/RTV i AGD/AGD/Grille elektryczne";"sprzet-agd";"Grille elektryczne → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Lodówki";"ELEKTRONIKA/RTV i AGD/AGD/Lodówki";"sprzet-agd";"Lodówki → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Miksery ręczne";"ELEKTRONIKA/RTV i AGD/AGD/Miksery ręczne";"sprzet-agd";"Miksery ręczne → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Nawilżacze";"ELEKTRONIKA/RTV i AGD/AGD/Nawilżacze";"sprzet-agd";"Nawilżacze → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Opiekacze";"ELEKTRONIKA/RTV i AGD/AGD/Opiekacze";"sprzet-agd";"Opiekacze → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Prostownice i karbownice";"ELEKTRONIKA/RTV i AGD/AGD/Prostownice i karbownice";"grooming";"Prostownice, karbownice → Zdrowie i Uroda > Grooming";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Spieniacze do mleka";"ELEKTRONIKA/RTV i AGD/AGD/Spieniacze do mleka";"sprzet-agd";"Spieniacze do mleka → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Suszarki do włosów";"ELEKTRONIKA/RTV i AGD/AGD/Suszarki do włosów";"grooming";"Suszarki do włosów → Zdrowie i Uroda > Grooming";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Urządzenia do popcornu";"ELEKTRONIKA/RTV i AGD/AGD/Urządzenia do popcornu";"sprzet-agd";"Urządzenia do popcornu → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Wagi kuchenne";"ELEKTRONIKA/RTV i AGD/AGD/Wagi kuchenne";"wagi-kuchenne";"Wagi kuchenne → Wagi > Wagi kuchenne";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Wagi łazienkowe";"ELEKTRONIKA/RTV i AGD/AGD/Wagi łazienkowe";"wagi-kuchenne";"Wagi łazienkowe → Wagi > Wagi kuchenne (najbliższe dopasowanie)";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Zaparzacze i kawiarki";"ELEKTRONIKA/RTV i AGD/AGD/Zaparzacze i kawiarki";"sprzet-agd";"Zaparzacze i kawiarki → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/AGD/Żelazka";"ELEKTRONIKA/RTV i AGD/AGD/Żelazka";"sprzet-agd";"Żelazka → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/Części i akcesoria/Filtry i wkłady";"ELEKTRONIKA/RTV i AGD/Części i akcesoria";"sprzet-agd";"Filtry i wkłady do AGD → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/Kuchenki przenośne";"ELEKTRONIKA/RTV i AGD/Kuchenki przenośne";"sprzet-agd";"Kuchenki przenośne → Dom > Sprzęt AGD";"OK"
"ELEKTRONIKA/RTV i AGD/Nabijarki do papierosów";"ELEKTRONIKA/RTV i AGD/Nabijarki do papierosów";"gadzety";"Nabijarki do papierosów → Dom > Gadżety";"OK"
"ELEKTRONIKA/RTV i AGD/Słuchawki/Bezprzewodowe";"ELEKTRONIKA/RTV i AGD/Słuchawki";"audio-sluchawki-i-glosniki";"Słuchawki bezprzewodowe → Elektronika i GSM > Audio (słuchawki i głośniki)";"OK"
"ELEKTRONIKA/RTV i AGD/Taśmy izolacyjne";"ELEKTRONIKA/RTV i AGD/Taśmy izolacyjne";"akcesoria-1";"Taśmy izolacyjne → Narzędzia > Akcesoria";"OK"
"ELEKTRONIKA/Telefony i Akcesoria/Akcesoria GSM/Etui i pokrowce";"ELEKTRONIKA/Telefony i Akcesoria/Akcesoria GSM/Etui i pokrowce";"na-telefon";"Etui i pokrowce → Etui i pokrowce > Na telefon";"OK"
"ELEKTRONIKA/Telefony i Akcesoria/Akcesoria GSM/Folie i szkła ochronne";"ELEKTRONIKA/Telefony i Akcesoria/Akcesoria GSM/Folie i szkła ochronne";"do-telefonow";"Folie i szkła ochronne → Szkła i folie ochronne > Do telefonów";"OK"
"ELEKTRONIKA/Telefony i Akcesoria/Akcesoria GSM/Ładowarki";"ELEKTRONIKA/Telefony i Akcesoria/Akcesoria GSM/Ładowarki";"zasilacze-i-ladowarki";"Ładowarki → Ładowanie i zasilanie > Zasilacze i ładowarki";"OK"
"ELEKTRONIKA/Telefony i Akcesoria/Karty pamięci";"ELEKTRONIKA/Telefony i Akcesoria/Karty pamięci";"komputery-i-akcesoria";"Karty pamięci → Elektronika i GSM > Komputery i akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Apteczki";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Obuwie robocze";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Ochronniki słuchu";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Odzież robocza/Bluzy i koszule";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Odzież robocza/Czapki";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Odzież robocza/Kamizelki";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Odzież robocza/Spodnie";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Odzież robocza/T-shirty";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Okulary i gogle";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Osłona twarzy";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Rękawice Robocze";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Artykuły BHP/Rękawiczki jednorazowe";"FIRMA I BIURO/Artykuły BHP";"akcesoria-1";"BHP (apteczki, odzież robocza, rękawice, okulary) → Narzędzia > Akcesoria";"OK"
"FIRMA I BIURO/Biuro/Akcesoria biurowe/Długopisy";"FIRMA I BIURO/Biuro/Akcesoria biurowe";"artykuly-szkolne-i-papiernicze";"Długopisy, segregatory, zszywacze → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Akcesoria biurowe/Przyborniki";"FIRMA I BIURO/Biuro/Akcesoria biurowe";"artykuly-szkolne-i-papiernicze";"Długopisy, segregatory, zszywacze → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Akcesoria biurowe/Segregatory";"FIRMA I BIURO/Biuro/Akcesoria biurowe";"artykuly-szkolne-i-papiernicze";"Długopisy, segregatory, zszywacze → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Akcesoria biurowe/Zszywacze i rozszywacze";"FIRMA I BIURO/Biuro/Akcesoria biurowe";"artykuly-szkolne-i-papiernicze";"Długopisy, segregatory, zszywacze → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Bloki";"FIRMA I BIURO/Biuro/Bloki";"artykuly-szkolne-i-papiernicze";"Bloki biurowe → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Druki";"FIRMA I BIURO/Biuro/Druki";"artykuly-szkolne-i-papiernicze";"Druki → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Koszulki i obwoluty";"FIRMA I BIURO/Biuro/Koszulki i obwoluty";"artykuly-szkolne-i-papiernicze";"Koszulki i obwoluty → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
"FIRMA I BIURO/Biuro/Meble biurowe/Akcesoria/Maty ochronne";"FIRMA I BIURO/Biuro/Meble biurowe/Akcesoria";"wyposazenie-i-akcesoria";"Maty ochronne pod krzesła → Dom > Wyposażenie i akcesoria";"OK"
"FIRMA I BIURO/Biuro/Meble biurowe/Fotele";"FIRMA I BIURO/Biuro/Meble biurowe/Fotele";"wyposazenie-lokali";"Fotele biurowe → Gastronomia > Wyposażenie lokali";"OK"
"FIRMA I BIURO/Biuro/Meble biurowe/Krzesła";"FIRMA I BIURO/Biuro/Meble biurowe/Krzesła";"wyposazenie-lokali";"Krzesła biurowe → Gastronomia > Wyposażenie lokali";"OK"
"FIRMA I BIURO/Biuro/Meble biurowe/Sejfy i kasy pancerne";"FIRMA I BIURO/Biuro/Meble biurowe/Sejfy i kasy pancerne";"zabezpieczenia";"Sejfy → Dom > Zabezpieczenia";"OK"
"FIRMA I BIURO/Biuro/Papier";"FIRMA I BIURO/Biuro/Papier";"artykuly-szkolne-i-papiernicze";"Papier biurowy → Dla dziecka > Artykuły szkolne i papiernicze";"OK"
