ean;sku;name;wysokosc_opak_mm;glebokosc_opak_mm;szerokosc_opak_mm;waga_g;description
;866184;Buty adidas Lego Sport CF Inf Jr H01505;;;;;"Właściwości: Dziecięce buty adidas. Niski model zapinany na rzepy. Elementy ozdobne w kształcie klock w Lego. Grubsza, gumowa podeszwa. Materiał: syntetyczny Kolor: czerwony"
;866185;Buty adidas Originals Superstar 360 Lego Inf FX4924;;;;;Buty adidas Originals Superstar 360 Lego Inf FX4924 Właściwości: buty marki adidas doskonałe na co dzień dla dzieci niski model cholewka wykonana z wysokiej jakości materiał w tekstylna wyści łka wyjątkowa kolorystyka logo producenta Materiał: syntetyczny Kolor: czarny
;1158478;Bluza polarowa dziecięca Lego Wear dla chłopca niebieska (22972-570);;;;;
;1158686;Kombinezon Lego Wear Kid's Lwjori 200 Jr 11010041/622;;;;;Właściwości: zapewnia ochronę przed wodą kurtka posiada łatwo odpinany kaptur łatwo dopasowujące się spodnie z gumowymi paskami na końcach nogawek miękki i trwały wodoodporność 5.000 mm wiatroodporny zgrzewane szwy Powłoka PU oddychalność 4.000 g/m2/24h komfortowe i miękkie miękka gumowa talia szczelne zamki YYK odblaski w wielu miejscach materiał wykonania: 100% poliester z podszewką z poliuretanu
;1158687;Kombinezon Lego Wear Kid's Lwjori 200 Jr 11010041/884;;;;;Właściwości: zapewnia ochronę przed wodą kurtka posiada łatwo odpinany kaptur łatwo dopasowujące się spodnie z gumowymi paskami na końcach nogawek miękki i trwały wodoodporność 5.000 mm wiatroodporny zgrzewane szwy Powłoka PU oddychalność 4.000 g/m2/24h komfortowe i miękkie miękka gumowa talia szczelne zamki YYK odblaski w wielu miejscach materiał wykonania: 100% poliester z podszewką z poliuretanu
;1158900;Spodnie Lego Wear Lwparker 201 - Outdoor Pants Jr 11010621/590;;;;;"Właściwości: lekkie i wygodne sprawdzą się podczas wycieczek i zabaw na świeżym powietrzu fason jogger elastyczny pas w talii dwie boczne kieszenie wykończenie Bionic-Finish Eco technologia Durable Water Repellent materiał wykonania: 88% poliamid, 12% elastan"
;1158905;Spodnie Lego Wear Lwparker 201 - Outdoor Pants Jr 11010621/884;;;;;"Właściwości: lekkie i wygodne sprawdzą się podczas wycieczek i zabaw na świeżym powietrzu fason jogger elastyczny pas w talii dwie boczne kieszenie wykończenie Bionic-Finish Eco technologia Durable Water Repellent materiał wykonania: 88% poliamid, 12% elastan"
;1159293;Spodnie narciarskie dziecięce Lego Wear LWPOWAI 701 - SKI PANTS zimowe czarne (22840-995);;;;;Znakomite spodnie narciarskie dla aktywnych dzieciaków ceniących komfort podczas zabaw na świeżym powietrzu. Wykonane z lekkiego wodoodpornego materiału zapewniają ochronę przed niekorzystną pogodą.
;1595775;LEGO Brick 1x2 Backpack 20204-0354 Czarne One size;;;;;
;1616453;Plecak do przedszkola LEGO® NINJAGO® Elemental Master of Energy (10030-2501);;;;;
;1616454;Plecak do przedszkola LEGO® NINJAGO® Dragon Energy (10030-2502);;;;;
;1616455;Plecak do przedszkola LEGO® City Space Explorer (10030-2505);;;;;
;1647510;LEGO Bricks Drawstring Bag 10034-2511 Czarne One size;;;;;
;1647511;LEGO Bricks Pencil Box 10052-2511 Czarne One size;;;;;
;1648157;LEGO Bricks Pencil Case With Content 20085-2511 Czarne One size;;;;;
;1648169;LEGO Bricks Nielsen School Bag 20193-2511 Czarne One size;;;;;
;1648170;LEGO Ninjago Petersen School Backpack 20209-2501 Szare One size;;;;;
;1648171;LEGO City Petersen School Backpack 20209-2505 Niebieskie One size;;;;;
;1648172;LEGO Bricks Petersen School Backpack 20209-2511 Czarne One size;;;;;
;1648174;LEGO Ninjago Extended Backpack 20222-2501 Szare One size;;;;;
;1648175;LEGO Ninjago Extended Backpack 20222-2502 Czarne One size;;;;;
;1648176;LEGO City Extended Backpack 20222-2505 Niebieskie One size;;;;;
;1648177;LEGO Bricks Extended Backpack 20222-2511 Czarne One size;;;;;
;1648179;LEGO Ninjago Basic Backpack 20266-2501 Szare One size;;;;;
;1648180;LEGO Ninjago Basic Backpack 20266-2502 Czarne One size;;;;;
;1648181;LEGO Ninjago School Backpack 20279-2508 Czarne One size;;;;;
;1648182;LEGO Ninjago School Backpack 20279-2512 Niebieskie One size;;;;;
;1648183;LEGO Ninjago School Backpack 20279-2513 Czarne One size;;;;;
;1648184;LEGO Ninjago Kids M Backpack 20281-2508 Czarne One size;;;;;
;1648186;LEGO Ninjago Kids M Backpack 20281-2513 Czarne One size;;;;;
;1648187;LEGO Ninjago Lunch Box 20284-2508 Czarne One size;;;;;
;1648188;LEGO Ninjago Lunch Box 20284-2512 Niebieskie One size;;;;;
;1648189;LEGO Ninjago Lunch Box 20284-2513 Czarne One size;;;;;
;1648190;LEGO Ninjago Drawstring Bag 20286-2508 Czarne One size;;;;;
;1648191;LEGO Ninjago Drawstring Bag 20286-2512 Niebieskie One size;;;;;
;1648192;LEGO Ninjago Drawstring Bag 20286-2513 Czarne One size;;;;;
;1648193;LEGO Ninjago Wallet 20288-2508 Czarne One size;;;;;
;1648194;LEGO Ninjago Wallet 20288-2512 Niebieskie One size;;;;;
;1648195;LEGO Ninjago Wallet 20288-2513 Czarne One size;;;;;
;1928720;LEGO CITY 60464 F1 Bolidy Williams Racing i Haas F1;141;46;191;196;"Cechy Liczba minifigurek do zabawy: 2 szt. Zalecany wiek: 4 lata+ Seria: City Ilość elementów: 92 Instrukcja: Tak Waga i rozmiary Głębokość produktu: 110 mm Wysokość produktu: 30 mm Szerokość produktu: 50 mm Dane opakowania Głębokość opakowania: 46 mm Wysokość opakowania: 141 mm Szerokość opakowania: 191 mm Waga wraz z opakowaniem: 196 g Ostrzeżenie bezpieczeństwa Ostrzeżenia Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami. Zachowaj opakowanie, ponieważ zawiera ważne informacje."
;1928721;LEGO ICONS 10363 Maszyna latająca Leonarda da Vinci;262;57;282;563;"Cechy Instrukcja: Tak Ilość elementów: 493 Zalecany wiek: 18 lat+ Seria: LEGO® Icons Waga i rozmiary Wysokość produktu: 250 mm Głębokość produktu: 290 mm Szerokość produktu: 350 mm Dane opakowania Szerokość opakowania: 282 mm Głębokość opakowania: 57 mm Wysokość opakowania: 262 mm Waga wraz z opakowaniem: 563 g Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
;1928723;LEGO DUPLO Bluey 10458 Wyprawa po lody z Blue;191;91;354;511;"Cechy Ilość elementów: 22 Zalecany wiek: 2 lata+ Liczba minifigurek do zabawy: 2 szt. Instrukcja: Tak Seria: Bluey Waga i rozmiary Wysokość produktu: 130 mm Szerokość produktu: 150 mm Głębokość produktu: 100 mm Dane opakowania Waga wraz z opakowaniem: 511 g Głębokość opakowania: 91 mm Wysokość opakowania: 191 mm Szerokość opakowania: 354 mm Ostrzeżenie bezpieczeństwa Ostrzeżenia Zachowaj opakowanie, ponieważ zawiera ważne informacje. Używać pod nadzorem osoby dorosłej. Nieodpowiednie dla dzieci poniżej 3 roku życia ze względu na ryzyko zadławienia małymi elementami."
