id;sku;nazwa;kategoria;szerokość;wysokość;głębokość;średnica;jednostka;reguła;raw
274880172;321321;"Hulajnoga aluminiowa L.A. Sports SWIFT 200MM 13871-14";"Sport i turystyka|Akcesoria sportowe|Hulajnogi";95;103.5;36;;cm;standalone-3d;"95 x 36 x 103,5 cm"
274880514;328556;"Hulajnoga aluminiowa ze stopką 13984";"Sport i turystyka|Akcesoria sportowe|Hulajnogi";92;97;37;;cm;standalone-3d;"92 x 37 x 97 cm"
274916673;476251;"Piłka lekarska Select 7 kg 2019 15737";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274953917;597132;"Piłka lekarska tiguar  1 kg TI-PL0001";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274953927;597133;"Piłka lekarska tiguar 2 kg TI-PL0002";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274953943;597134;"Piłka lekarska tiguar 3 kg TI-PL0003";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274953965;597135;"Piłka lekarska tiguar 4 kg TI-PL0004";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274953988;597136;"Piłka lekarska z uchwytami tiguar 10 kg TI-PLU010";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274954020;597137;"Piłka lekarska z uchwytami tiguar  5 kg TI-PLU005";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274954040;597138;"Piłka lekarska z uchwytami tiguar 6 kg TI-PLU006";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274954076;597140;"Piłka lekarska z uchwytami tiguar 8 kg TI-PLU008";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274954560;597196;"Piłka lekarska tiguar slam ball 12 kg TI-SL0012";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274954578;597197;"Piłka lekarska tiguar slam ball 15 kg TI-SL0015";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274964838;616997;"Rolki Mico Volt PW-126B-9";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
274998298;646732;"Hamak, fotel brazylijski Natura Royokamp 1013428";"Ogród i Gospodarstwo|Meble ogrodowe";90;;50;;cm;wymiary-2d;"wymiary siedziska: 90x50 cm"
274998674;597192;"Piłka lekarska tiguar slam ball TI-SL0004";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274998689;597193;"Piłka lekarska tiguar slam ball TI-SL0006";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274998696;597194;"Piłka lekarska tiguar slam ball TI-SL0008";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
274998703;597195;"Piłka lekarska tiguar slam ball 10 kg TI-SL0010";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
275008913;611778;"Rolki Meteor Invert 2w1 Blue 22306-22308";"Sport i turystyka|Akcesoria sportowe|Rolki";38.5;11.5;27.5;;cm;standalone-3d;"38,5x27,5x11,5 cm"
275010818;293181;"Piłka lekarska 4 kg skórzana";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
275010826;293182;"Piłka lekarska 5kg 1011665";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
275047589;663611;"Hamak fotel brazylijski Royokamp 100x100 cm 1020259";"Ogród i Gospodarstwo|Meble ogrodowe";100;120;100;;cm;wymiary-3d;"wymiary: 100x100x120 cm"
275049040;664039;"Lodówka turystyczna Lifetime 90949";"Sport i turystyka|Sprzęt turystyczny";68.6;43.8;44.7;;cm;wymiary-3d;"Wymiary zewnętrzne: 68,6 x 44,7 x 43,8 cm"
275050716;528668;"Piłka lekarska Smj VMB-L004R 4kg";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
275057381;409358;"HULAJNOGA TRÓJKOŁOWA SMJ PRINCESS AF-WG006";"Dla dziecka|Pojazdy dziecięce|Hulajnogi";;;;;;NO_MATCH;""
275063018;534445;"Piłka lekarska Yakimasport 3kg 100267";"Sport i turystyka|Fitness i trening";;;;23;cm;diameter;"średnica ok: 23 cm"
275063024;534733;"Piłka lekarska Yakimasport 2kg 100309";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
275063032;534735;"Piłka lekarska Yakimasport 1kg 100308";"Sport i turystyka|Fitness i trening";;;;;;NO_MATCH;""
275066590;674724;"Hulajnoga balansowa jeździk 3w1 Enero Biedronka 1017679";"Dla dziecka|Pojazdy dziecięce|Hulajnogi";25;;57;;cm;labeled-dims;"długość 57cm; szerokość 25cm"
275085349;642861;"Hulajnoga Spokey Ayas 929393";"Sport i turystyka|Akcesoria sportowe|Hulajnogi";;101;;;cm;height-only;"Wysokość kierownicy od podłogi: 76 - 101 cm"
275087307;473282;"Hulajnoga Meteor Racer 22766";"Sport i turystyka|Akcesoria sportowe|Hulajnogi";37;73;;;cm;labeled-dims;"szerokość kierownicy: 37 cm; wysokość: 73 cm"
275122270;721812;"Rolki Tempish Gokid Jr 100000004098";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
275122343;722063;"Rolki regulowane FR Junior Club FRSK-FRJC-BK - nie wystawiac";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
275122444;721806;"Rolki Tempish Ayroo 1000061";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
275122474;721807;"Rolki Tempish Ayroo Lady W 1000062";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
275122488;721808;"Rolki Tempish Ayroo Top 1000059";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;8.4;cm;diameter;"średnicy 84mm"
275122507;721809;"Rolki Tempish Ayroo Top Lady W 1000060";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;8.4;cm;diameter;"średnicy 84mm"
275122527;721810;"Rolki Tempish Ezza 90 Uni 1000055";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
275122557;721813;"Rolki Tempish Gokid Jr 100000004099";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
275122565;721815;"Rolki Tempish S.R.Pro 1000004609";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;0.8;cm;diameter;"średnicę 8mm"
275126769;721330;"Rolki Tempish Dasty Jr 1000049";"Sport i turystyka|Akcesoria sportowe|Rolki";;;;;;NO_MATCH;""
